id,kodikos_dimotikis_enotitas,onoma_dimotikis_enotitas,kodikos_neou_ota,eidos_neou_ota,onoma_neou_ota,kodikos_perifereiakis_enotitas,perifereiaki_enotita,kodikos_perifereias,perifereia
68,902601,ΑΜΠΕΛΟΚΗΠΩΝ,9026,ΔΗΜΟΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
69,902602,ΜΕΝΕΜΕΝΗΣ,9026,ΔΗΜΟΣ,ΑΜΠΕΛΟΚΗΠΩΝ-ΜΕΝΕΜΕΝΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
70,902701,ΑΓΙΟΥ ΓΕΩΡΓΙΟΥ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
71,902702,ΑΠΟΛΛΩΝΙΑΣ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
72,902703,ΑΡΕΘΟΥΣΑΣ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
73,902704,ΕΓΝΑΤΙΑΣ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
74,902705,ΜΑΔΥΤΟΥ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
75,902706,ΡΕΝΤΙΝΑΣ,9027,ΔΗΜΟΣ,ΒΟΛΒΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
76,902801,ΑΞΙΟΥ,9028,ΔΗΜΟΣ,ΔΕΛΤΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
77,902802,ΕΧΕΔΩΡΟΥ,9028,ΔΗΜΟΣ,ΔΕΛΤΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
78,902803,ΧΑΛΑΣΤΡΑΣ,9028,ΔΗΜΟΣ,ΔΕΛΤΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
79,902901,ΕΠΑΝΟΜΗΣ,9029,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
80,902902,ΘΕΡΜΑΪΚΟΥ,9029,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
81,902903,ΜΗΧΑΝΙΩΝΑΣ,9029,ΔΗΜΟΣ,ΘΕΡΜΑΪΚΟΥ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
82,903001,ΒΑΣΙΛΙΚΩΝ,9030,ΔΗΜΟΣ,ΘΕΡΜΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
83,903002,ΘΕΡΜΗΣ,9030,ΔΗΜΟΣ,ΘΕΡΜΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
84,903003,ΜΙΚΡΑΣ,9030,ΔΗΜΟΣ,ΘΕΡΜΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
85,903101,ΘΕΣΣΑΛΟΝΙΚΗΣ,9031,ΔΗΜΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
86,903102,ΤΡΙΑΝΔΡΙΑΣ,9031,ΔΗΜΟΣ,ΘΕΣΣΑΛΟΝΙΚΗΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
87,903201,ΚΑΛΑΜΑΡΙΑΣ,9032,ΔΗΜΟΣ,ΚΑΛΑΜΑΡΙΑΣ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
88,903301,ΕΛΕΥΘΕΡΙΟΥ-ΚΟΡΔΕΛΙΟΥ,9033,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
89,903302,ΕΥΟΣΜΟΥ,9033,ΔΗΜΟΣ,ΚΟΡΔΕΛΙΟΥ-ΕΥΟΣΜΟΥ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
90,903401,ΑΣΣΗΡΟΥ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
91,903402,ΒΕΡΤΙΣΚΟΥ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
92,903403,ΚΑΛΙΝΔΟΙΩΝ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
93,903404,ΚΟΡΩΝΕΙΑΣ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
94,903405,ΛΑΓΚΑΔΑ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
95,903406,ΛΑΧΑΝΑ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
96,903407,ΣΟΧΟΥ,9034,ΔΗΜΟΣ,ΛΑΓΚΑΔΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
97,903501,ΑΓΙΟΥ ΠΑΥΛΟΥ,9035,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
98,903502,ΝΕΑΠΟΛΕΩΣ,9035,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
99,903503,ΠΕΥΚΩΝ,9035,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
100,903504,ΣΥΚΕΩΝ,9035,ΔΗΜΟΣ,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
101,903601,ΕΥΚΑΡΠΙΑΣ,9036,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
102,903602,ΠΟΛΙΧΝΗΣ,9036,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
103,903603,ΣΤΑΥΡΟΥΠΟΛΕΩΣ,9036,ΔΗΜΟΣ,ΠΑΥΛΟΥ ΜΕΛΑ,202,ΘΕΣΣΑΛΟΝΙΚΗΣ,2,ΚΕΝΤΡΙΚΗΣ ΜΑΚΕΔΟΝΙΑΣ
